                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.80127,                0.61617,                0.92785,                0.90731,                0.85853,                0.91257,                 0.7168,                0.83626,                0.74151,                 0.9732,             0.00019216,             0.00019216,             0.00019216
                     71,                0.79352,                0.60685,                0.92372,                 0.8555,                0.86532,                0.89923,                0.71175,                0.78336,                0.72052,                0.94395,             0.00018634,             0.00018634,             0.00018634
                     72,                0.78841,                0.60489,                 0.9205,                0.90133,                0.84661,                0.90859,                0.71378,                0.81646,                0.76149,                0.96241,             0.00018052,             0.00018052,             0.00018052
                     73,                0.78383,                0.59635,                0.92486,                0.89028,                0.86797,                0.91176,                0.72713,                0.80751,                 0.6912,                0.96351,             0.00017469,             0.00017469,             0.00017469
                     74,                0.78261,                0.60429,                0.91888,                0.91131,                0.85555,                0.91396,                0.72459,                0.81127,                0.70848,                0.96158,             0.00016887,             0.00016887,             0.00016887
                     75,                0.77462,                0.59688,                 0.9191,                0.90057,                0.87632,                0.91078,                0.72788,                0.78082,                0.66636,                0.94732,             0.00016305,             0.00016305,             0.00016305
                     76,                0.78005,                0.58887,                0.91901,                0.93035,                0.85884,                0.91766,                0.72862,                0.80575,                0.71403,                0.96075,             0.00015723,             0.00015723,             0.00015723
                     77,                 0.7829,                0.59298,                0.91828,                0.89829,                0.87056,                0.91357,                0.72509,                0.78783,                0.65557,                0.94958,             0.00015141,             0.00015141,             0.00015141
                     78,                0.78241,                0.58337,                0.91904,                0.90194,                0.87542,                0.91635,                0.73628,                0.78788,                0.68732,                0.95021,             0.00014559,             0.00014559,             0.00014559
                     79,                0.77151,                0.58032,                0.91537,                0.87854,                0.88327,                0.91486,                0.72538,                0.81461,                0.73239,                0.96479,             0.00013977,             0.00013977,             0.00013977
                     80,                0.76948,                0.56855,                0.91224,                0.86454,                0.89073,                0.91952,                0.73158,                0.81183,                0.65804,                0.96177,             0.00013395,             0.00013395,             0.00013395
                     81,                0.76202,                0.57809,                0.91311,                0.89901,                0.88168,                0.91993,                 0.7348,                0.79463,                0.69989,                0.95505,             0.00012813,             0.00012813,             0.00012813
                     82,                0.77034,                0.57245,                0.91233,                 0.8921,                0.88855,                0.92025,                0.73274,                0.80222,                0.67954,                0.96254,              0.0001223,              0.0001223,              0.0001223
                     83,                0.77282,                0.57533,                0.91615,                0.92201,                0.87114,                0.92201,                0.74044,                0.79219,                0.72055,                0.95175,             0.00011648,             0.00011648,             0.00011648
                     84,                0.75869,                0.56677,                0.91172,                0.89308,                0.87986,                0.92153,                0.73934,                0.78227,                0.69299,                0.94827,             0.00011066,             0.00011066,             0.00011066
                     85,                0.75933,                0.56792,                0.91272,                0.89415,                0.88002,                0.92114,                0.73401,                0.78296,                0.70761,                  0.948,             0.00010484,             0.00010484,             0.00010484
                     86,                0.74233,                0.55103,                0.90869,                0.88654,                 0.8795,                0.91673,                0.73348,                0.80933,                0.73109,                0.96068,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     87,                0.74745,                 0.5504,                0.91118,                0.88689,                0.87655,                0.91705,                0.73325,                0.80386,                0.72212,                0.96199,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     88,                0.74631,                0.54903,                0.91012,                0.88069,                0.87718,                0.91338,                 0.7256,                0.79543,                0.68633,                0.96068,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     89,                0.73757,                0.54766,                0.90705,                0.90369,                0.88029,                0.91686,                0.73347,                 0.7948,                0.68656,                0.95885,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     90,                0.74929,                0.54005,                 0.9087,                0.92664,                0.86073,                 0.9155,                0.73107,                0.80446,                0.67704,                0.96439,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     91,                0.72653,                 0.5018,                 0.9073,                0.91481,                0.85739,                 0.9151,                0.73148,                 0.7878,                0.65042,                0.95706,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     92,                0.70952,                0.48798,                0.90135,                0.87128,                0.88753,                0.91766,                0.73179,                0.78782,                0.65226,                0.95378,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     93,                0.70836,                0.48909,                0.90219,                0.88967,                0.88297,                 0.9175,                0.73961,                0.77225,                 0.6774,                0.94704,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     94,                0.70759,                0.48554,                0.89848,                0.89937,                 0.8708,                0.91555,                0.73418,                0.78369,                0.66219,                0.95512,              5.245e-05,              5.245e-05,              5.245e-05
                     95,                0.69843,                0.47481,                0.89358,                0.88695,                0.88215,                 0.9174,                0.73558,                0.78053,                0.64848,                0.94833,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     96,                0.69558,                0.47045,                0.89275,                0.89851,                0.88185,                0.91908,                0.74177,                0.76491,                0.62538,                0.94227,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     97,                0.68862,                0.46715,                0.88794,                0.90439,                 0.8799,                0.91671,                0.73762,                0.76278,                0.63404,                0.94408,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     98,                0.69301,                 0.4726,                0.89259,                0.89301,                0.88309,                0.91722,                0.74013,                0.75892,                0.63376,                0.94078,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     99,                0.69198,                0.46232,                0.89091,                0.89865,                0.88075,                0.91852,                0.73968,                0.77191,                0.65536,                0.94735,             2.3344e-05,             2.3344e-05,             2.3344e-05
                    100,                0.69141,                0.45747,                 0.8931,                0.90243,                0.87341,                0.91423,                0.73928,                0.77517,                0.66534,                0.94952,             1.7522e-05,             1.7522e-05,             1.7522e-05
